Processing file,Reading requirements file execution time,Parsing requirements execution time,Fetching versions and dependencies execution time,Fetching transitive dependencies execution time,Processing folder error,Generating SMT expression execution time,Proof for UNSAT execution time,Solving SMT expression execution time,Generating requirements.txt execution time,Total (s)
127368f7dc810dd37fe18aee87dd2ee2,0.008360386,0,0,0,,0.001614809,,0,0,0.009975195
1275204,0.018853426,0,0.001003742,0,,0.033424854,,0.005383253,0,0.058665276
1277655,0.003113985,0,0.005819798,0.003012896,,0.09737587,,0.017900229,0.001128912,0.128351688
1283684,0.012238741,0,0,0.006359816,,0.011974573,,0.014332056,0,0.044905186
1284577,0.002160788,0,0,0,,0.01469636,,0,0.00101018,0.017867327
1285742,0.023967981,0,0,0,,,,,,0.023967981
1288025,0.009424448,0,0,0,,0.028801918,,0.001674891,0.001233578,0.041134834
1288160dad16cc473a53,0,0,0,0,,,,,,0
1289286,0,0,0,0,,,,,,0
1290744,0.016079903,0,0,0,,,,,,0.016079903
12da69b95d010c8a810fd384cca8d02a,0.009429693,0,0,0,,,,,,0.009429693
1303651,0.001034975,0,0,0,,0.02794385,,0.013657331,0.001016617,0.043652773
130583,0.002044439,0,0.001044512,0,,0.033208609,,0.015474796,0,0.051772356
1306719,0,0,0,0,,,,,,0
1307521,0,0,0,0,,0.016233206,,0,0.001011848,0.017245054
1308865,0.001974106,0,0,0,,0.037059307,,0.00191927,0,0.040952682
1309895,0,0,0,0,,,,,,0
130cd92dc47c56c47030,0.008599281,0,0,0,,0.006137609,,0,0,0.014736891
1310549,0,0,0,0.000580311,,0.024132729,,0.001016617,0,0.025729656
1315148,0,0,0,0,,,,,,0
1320970,0.001355648,0,0,0,,,,,,0.001355648
1321295,0.00505352,0,0,0,,,,,,0.00505352
1321575,0,0,0.015479326,0,,0,,0.033230543,0.000999689,0.049709558
1321585,0.00488925,0,0.001735926,0,,0.011681795,,0,0.014170408,0.032477379
1323194,0,0,0,0,,,,,,0
1326477,0,0,0,0.016256094,,0.187030077,,0.017505169,0,0.22079134
1327072,0.002020836,0,0.000995636,0.001003504,,0.02475667,,0.014130116,0.013204575,0.056111336
1329319,0.007977962,0,0,0,,0.007506132,,0.003026009,0.001000643,0.019510746
1337131,0,0,0.013422251,0.033275127,,2.79163456,,0.154885769,0,2.993217707
1338222,0.00203228,0,0,0.002188921,,0.009770393,,0.020341635,0,0.034333229
1342497,0.013292551,0,0,0,,,,,,0.013292551
1342942,0.006338358,0,0.00099659,0,,0.00215292,,0,0.002015352,0.01150322
1343455,0.005111456,0,0,0,,0.010858059,,0,0.001005888,0.016975403
134acb5f7423312effcc98ec56679136,0.001002789,0,0,0,,,,,,0.001002789
1350641,0.003121614,0,0.002033472,0,,0.02456522,,0.008187771,0,0.037908077
1351047,0.008043051,0,0.003548861,0,,0.006908894,,0,0,0.018500805
1352028,0.00096488,0,0,0,,,,,,0.00096488
1355170,0.005614519,0,0,0.006766081,,0.082644224,,0.014145136,0.004509926,0.113679886
1357185,0.007466078,0,0,0,,,,,,0.007466078
1358794,0.017191172,0,0.001011133,0.001986742,,0.109599829,,0.022699594,0,0.15248847
1361643,0,0,0,0,,,,,,0
13623f68e36fdad4cb67,0.045584679,0,0,0,,0.095262766,,0.02043581,0.001001358,0.162284613
1362a8908be01e23041d,0.001993895,0,0,0,,,,,,0.001993895
1363730,0.00379777,0,0.00199461,0.000994921,,0.037817717,,0.014160395,0.000999212,0.059764624
1367378,0.002012014,0,0.00100112,0,,0.008982897,,0.002995729,0.001008987,0.016000748
1369619,0.002657175,0,0.000994205,0,,0.03085947,,0.019298792,0.000995398,0.05480504
1372780,0.013255119,0.001010895,0.00100112,0,,0.006997585,,0.004012823,0.001040697,0.027318239
137653,0.058728218,0,0.000994444,0,,0.008999109,,0.003575563,0.002230167,0.074527502
