Processing file,Reading requirements file (s),Parsing requirements (s),Fetching versions and dependencies (s),Fetching transitive dependencies (s),Processing folder error,Generating SMT expression (s),Proof for UNSAT (s),Solving SMT expression (s),Generating requirements.txt (s),Total (s)
5.datapackage-py,0.00842762,0,0,0.303075075,,9.827689648,,0.763537884,0.001994848,10.90472507
50.rasa,0.037688732,0.001000404,0.010017872,0.044599771,,2.184607983,1.313475609,,,3.591390371
51.certbot,0.004034996,0,0,0.193664074,,13.830194,,0.512712717,0,14.54060578
52.moto,0.014423609,0,0,0.017678499,,0.409530163,,0.055416107,0.000999928,0.498048306
53.botocore,0.010583639,0,0.002033949,0,,0.009315968,,0.004011154,0,0.02594471
54.reana-workflow-controller,0.044364452,0,0.000994921,0.134640694,,9.024160624,,0.517205954,0,9.721366644
57.pyswarms,0.008009672,0,0.003003359,0,,0.013879299,0.85555768,,,0.88045001
58.certbot,0.120996714,0,0.001512289,0.020006657,,3.126307249,,0.172762632,0,3.441585541
59.yellowbrick,0.00528574,0,0,0.039640427,,2.490219831,,0.236158848,0.000997066,2.772301912
6.spaCy,0.01699543,0,0.003996611,0.06734252,,3.187957525,,0.240441561,0,3.516733646
60.knowit,0.015505314,0,0,0.015757561,,0.733685255,,0.066628933,0.00097084,0.832547903
61.piqueserver,0.012410164,0,0,0.050635099,,1.974405766,,0.165317774,0.001972914,2.204741716
62.commcare-cloud,0.038605213,0,0.011052132,0.021068335,,1.115499735,1.13367486,,,2.319900274
63.bcbio-nextgen,0.023859978,0,0.011719704,,maximum recursion depth exceeded,,,,,0.035579681
65.kinto,0.049283743,0,0.017538548,0.071981668,,14.96704483,1.558571815,,,16.6644206
66.molecule,0.00104785,0.008843184,0.002344608,,maximum recursion depth exceeded,,,,,0.012235641
67.ngraph-python,0.021508694,0.001003027,0.008329391,0.157078981,,18.53635979,2.33980298,,,21.06408286
68.tlbc-monitor,0.013132811,0,0,,maximum recursion depth exceeded,,,,,0.013132811
7.molecule,0.001670837,0,0.003662109,,maximum recursion depth exceeded,,,,,0.005332947
72.pip-tools,0,0,0,0,,0.021942616,,0.005996227,0.000965834,0.028904676
73.gallery-dl,0.001997232,0,0,0.02615571,,0.536779642,,0.030965328,0.001015663,0.596913576
74.spaCy,0.016233921,0,0.007105827,0.095687389,,5.117277622,,0.526721478,0.000999928,5.764026165
75.connexion,0.01099968,0,0.000998259,0.223351479,,7.783297777,,0.547352314,0,8.565999508
78.gitfs,0.011428118,0,0,0,,0.01193428,,0.00300169,0,0.026364088
79.hangoutsbot,0,0,0,0,,,,,,0
8.commis,0.020292044,0,0.001590729,0,,0.008994102,,0.0030334,0.001000404,0.034910679
80.kwalitee,0.010020494,0,0,,maximum recursion depth exceeded,,,,,0.010020494
82.endpoints-python,0.007924318,0,0.001002312,0,,0.058887005,,0.017092705,0.00095582,0.08586216
83.enochecker,0.009388447,0,0.005001307,0.009013176,,0.473561287,1.004181862,,,1.501146078
85.knowit,0,0,0,0.013779402,,0.858698845,,0.084525824,0,0.95700407
86.knowit,0,0,0,0.022436857,,0.728786707,,0.089111567,0,0.840335131
87.pynwb,0.018390656,0,0,0.053741217,,1.353003025,1.174325705,,,2.599460602
88.hknweb,0.050419092,0,0,0,,0.010014772,,0.004000425,0.001011133,0.065445423
89.bcbio-nextgen,0.002006531,0,0,0,,0.010037899,,0.005223513,0,0.017267942
90.ckan,0.001006126,0,0,0,,,,,,0.001006126
91.nucypher,0.035118341,0,0.003004551,,maximum recursion depth exceeded,,,,,0.038122892
92.pip-tools,0,0,0,0.00901556,,0.423538923,,0.074968338,0,0.507522821
93.qha,0.015174627,0,0,0.100188017,,5.45065546,,0.443413258,0.001007795,6.010439157
95.spinningup,0.002142668,0,0,0,,0.006997585,,0.003076792,0.001992702,0.014209747
97.botocore,0.011607409,0.001004696,0.000995159,0.004774094,,0.260982275,,0.031277895,0.001057625,0.311699152
99.requests,0.012917995,0,0,0,,0.029142141,,0.016417265,0,0.058477402
,,,,,,,,,,406.2836375
